record_id,domain,condition,input_type,input_value,input_unit,replicate,time_step,signal,signal_unit,expected_signal,baseline_signal,voltage_v,current_a,stress_mpa,reference_stress_mpa,temperature_c
B001,Biochem,low_concentration,concentration,0.1,mM,1,1,0.12,absorbance,0.12,0.10,,,,,25
B002,Biochem,low_concentration,concentration,0.1,mM,2,2,0.11,absorbance,0.12,0.10,,,,,25
B003,Biochem,low_concentration,concentration,0.1,mM,3,3,0.13,absorbance,0.12,0.10,,,,,25
B004,Biochem,medium_concentration,concentration,0.5,mM,1,1,0.49,absorbance,0.50,0.10,,,,,25
B005,Biochem,medium_concentration,concentration,0.5,mM,2,2,0.52,absorbance,0.50,0.10,,,,,25
B006,Biochem,medium_concentration,concentration,0.5,mM,3,3,0.51,absorbance,0.50,0.10,,,,,25
B007,Biochem,high_concentration,concentration,1.0,mM,1,1,0.98,absorbance,1.00,0.10,,,,,25
B008,Biochem,high_concentration,concentration,1.0,mM,2,2,1.02,absorbance,1.00,0.10,,,,,25
B009,Biochem,high_concentration,concentration,1.0,mM,3,3,1.01,absorbance,1.00,0.10,,,,,25
E001,Electronics,low_load,load,10,ohm,1,1,4.95,V,5.00,5.00,4.95,0.20,,,35
E002,Electronics,low_load,load,10,ohm,2,2,4.90,V,5.00,5.00,4.90,0.21,,,36
E003,Electronics,low_load,load,10,ohm,3,3,4.92,V,5.00,5.00,4.92,0.20,,,35
E004,Electronics,medium_load,load,20,ohm,1,1,4.70,V,4.70,5.00,4.70,0.24,,,40
E005,Electronics,medium_load,load,20,ohm,2,2,4.65,V,4.70,5.00,4.65,0.25,,,41
E006,Electronics,medium_load,load,20,ohm,3,3,4.68,V,4.70,5.00,4.68,0.24,,,40
E007,Electronics,high_load,load,40,ohm,1,1,4.25,V,4.25,5.00,4.25,0.30,,,48
E008,Electronics,high_load,load,40,ohm,2,2,4.30,V,4.25,5.00,4.30,0.31,,,49
E009,Electronics,high_load,load,40,ohm,3,3,4.10,V,4.25,5.00,4.10,0.35,,,50
M001,Mechanical,low_load,load,50,N,1,1,0.50,mm,0.50,0.50,,,80,100,28
M002,Mechanical,low_load,load,50,N,2,2,0.52,mm,0.50,0.50,,,82,100,28
M003,Mechanical,low_load,load,50,N,3,3,0.51,mm,0.50,0.50,,,81,100,28
M004,Mechanical,medium_load,load,100,N,1,1,1.10,mm,1.10,0.50,,,150,200,28
M005,Mechanical,medium_load,load,100,N,2,2,1.08,mm,1.10,0.50,,,148,200,28
M006,Mechanical,medium_load,load,100,N,3,3,1.11,mm,1.10,0.50,,,152,200,28
M007,Mechanical,high_load,load,150,N,1,1,1.75,mm,1.75,0.50,,,230,300,28
M008,Mechanical,high_load,load,150,N,2,2,1.80,mm,1.75,0.50,,,235,300,28
M009,Mechanical,high_load,load,150,N,3,3,2.10,mm,1.75,0.50,,,270,300,28
